,Age,DailyRate,Department,EducationField,Gender,MaritalStatus,MonthlyRate,OverTime,Bonus
0,41,1102,Sales,Life Sciences,Female,Single,19479,Yes,21426.9
1,49,279,Research & Development,Life Sciences,Male,Married,24907,No,27397.7
2,37,1373,Research & Development,Other,Male,Single,2396,Yes,2635.6000000000004
3,33,1392,Research & Development,Life Sciences,Female,Married,23159,Yes,25474.9
4,27,591,Research & Development,Medical,Male,Married,16632,No,18295.2
5,32,1005,Research & Development,Life Sciences,Male,Single,11864,No,13050.400000000001
6,59,1324,Research & Development,Medical,Female,Married,9964,Yes,10960.400000000001
7,30,1358,Research & Development,Life Sciences,Male,Divorced,13335,No,14668.500000000002
8,38,216,Research & Development,Life Sciences,Male,Single,8787,No,9665.7
9,36,1299,Research & Development,Medical,Male,Married,16577,No,18234.7
10,35,809,Research & Development,Medical,Male,Married,16479,No,18126.9
11,29,153,Research & Development,Life Sciences,Female,Single,12682,Yes,13950.2
12,31,670,Research & Development,Life Sciences,Male,Divorced,15170,No,16687.0
13,34,1346,Research & Development,Medical,Male,Divorced,8758,No,9633.800000000001
14,28,103,Research & Development,Life Sciences,Male,Single,12947,Yes,14241.7
15,29,1389,Research & Development,Life Sciences,Female,Divorced,10195,No,11214.5
16,32,334,Research & Development,Life Sciences,Male,Divorced,15053,Yes,16558.300000000003
17,22,1123,Research & Development,Medical,Male,Divorced,7324,Yes,8056.400000000001
18,53,1219,Sales,Life Sciences,Female,Married,22021,No,24223.100000000002
19,38,371,Research & Development,Life Sciences,Male,Single,4306,Yes,4736.6
20,24,673,Research & Development,Other,Female,Divorced,8232,No,9055.2
21,36,1218,Sales,Life Sciences,Male,Single,6986,No,7684.6
22,34,419,Research & Development,Life Sciences,Female,Single,21293,No,23422.300000000003
23,21,391,Research & Development,Life Sciences,Male,Single,19281,No,21209.100000000002
24,34,699,Research & Development,Medical,Male,Single,17102,No,18812.2
25,53,1282,Research & Development,Other,Female,Divorced,10735,No,11808.500000000002
26,32,1125,Research & Development,Life Sciences,Female,Single,4681,Yes,5149.1
27,42,691,Sales,Marketing,Male,Married,21173,No,23290.300000000003
28,44,477,Research & Development,Medical,Female,Married,2094,No,2303.4
29,46,705,Sales,Marketing,Female,Single,22822,No,25104.2
30,33,924,Research & Development,Medical,Male,Single,6670,No,7337.000000000001
31,44,1459,Research & Development,Other,Male,Married,19121,Yes,21033.100000000002
32,30,125,Research & Development,Medical,Male,Single,16117,No,17728.7
33,39,895,Sales,Technical Degree,Male,Married,3335,No,3668.5000000000005
34,24,813,Research & Development,Medical,Male,Married,3020,Yes,3322.0000000000005
35,43,1273,Research & Development,Medical,Female,Divorced,21923,No,24115.300000000003
36,50,869,Sales,Marketing,Male,Married,3810,Yes,4191.0
